Week of,Cushing OK Crude Oil Future Contract 1 $/bbl
02/10/2006,63.04
02/3/2006,66.58
01/27/2006,67.01
01/20/2006,66.81
01/13/2006,63.73
01/6/2006,63.39
12/30/2005,59.84
12/23/2005,58.12
12/16/2005,60.31
12/9/2005,59.82
12/2/2005,57.79
11/25/2005,58.42
11/18/2005,57.01
11/11/2005,58.69
11/4/2005,60.34
10/28/2005,61.15
10/21/2005,62.33
10/14/2005,63.03
10/7/2005,63.07
09/30/2005,66.05
09/23/2005,66.22
09/16/2005,63.86
09/9/2005,64.73
09/2/2005,68.6
08/26/2005,66.42
08/19/2005,64.84
08/12/2005,64.91
08/5/2005,61.6
07/29/2005,59.56
07/22/2005,57.46
07/15/2005,59.09
07/8/2005,60.31
07/1/2005,58.25
06/24/2005,59.12
06/17/2005,56.25
06/10/2005,53.72
06/3/2005,53.81
05/27/2005,50.53
05/20/2005,47.71
05/13/2005,50.35
05/6/2005,50.47
04/29/2005,52.37
04/22/2005,52.94
04/15/2005,51.48
04/8/2005,55.27
04/1/2005,54.99
03/25/2005,55.33
03/18/2005,55.92
03/11/2005,54.24
03/4/2005,52.77
02/25/2005,51.3
02/18/2005,47.78
02/11/2005,46.08
02/4/2005,46.99
01/28/2005,48.65
01/21/2005,47.84
01/14/2005,46.76
01/7/2005,44.08
12/31/2004,42.55
12/24/2004,44.96
12/17/2004,43.5
12/10/2004,41.92
12/3/2004,46.03
11/26/2004,49.01
11/19/2004,46.9
11/12/2004,48.01
11/5/2004,49.81
10/29/2004,52.97
10/22/2004,54.3
10/15/2004,53.9
10/8/2004,51.8
10/1/2004,49.76
09/24/2004,47.83
09/17/2004,44.26
09/10/2004,43.38
09/3/2004,43.29
08/27/2004,44.2
08/20/2004,47.33
08/13/2004,45.25
08/6/2004,43.83
07/30/2004,42.55
07/23/2004,41.23
07/16/2004,40.39
07/9/2004,39.76
07/2/2004,37.22
06/25/2004,37.76
06/18/2004,37.86
06/11/2004,37.98
06/4/2004,40.02
05/28/2004,40.58
05/21/2004,40.89
05/14/2004,40.44
05/7/2004,39.21
04/30/2004,37.33
04/23/2004,36.78
04/16/2004,37.42
04/9/2004,35.66
04/2/2004,35.22
03/26/2004,36.56
03/19/2004,37.82
03/12/2004,36.38
03/5/2004,36.64
02/27/2004,35.26
02/20/2004,35.56
02/13/2004,33.85
02/6/2004,33.55
01/30/2004,33.61
01/23/2004,35.16
01/16/2004,34.43
01/9/2004,33.88
01/2/2004,32.57
12/26/2003,32.23
12/19/2003,33.23
12/12/2003,32.13
12/5/2003,30.76
11/28/2003,29.97
11/21/2003,32.48
11/14/2003,31.53
11/7/2003,29.81
10/31/2003,29.19
10/24/2003,30.18
10/17/2003,31.55
10/10/2003,30.73
10/3/2003,29.45
09/26/2003,27.76
09/19/2003,27.39
09/12/2003,28.89
09/5/2003,29.19
08/29/2003,31.56
08/22/2003,31.25
08/15/2003,31.37
08/8/2003,32.07
08/1/2003,30.78
07/25/2003,30.41
07/18/2003,31.46
07/11/2003,30.71
07/4/2003,30.29
06/27/2003,29.24
06/20/2003,30.68
06/13/2003,31.54
06/6/2003,30.69
05/30/2003,29.15
05/23/2003,29.03
05/16/2003,28.58
05/9/2003,26.63
05/2/2003,25.65
04/25/2003,28.07
04/18/2003,29.41
04/11/2003,28.08
04/4/2003,29.39
03/28/2003,29.16
03/21/2003,30.4
03/14/2003,36.64
03/7/2003,36.85
02/28/2003,36.81
02/21/2003,36.62
02/14/2003,35.77
02/7/2003,33.91
01/31/2003,33.19
01/24/2003,33.25
01/17/2003,33.08
01/10/2003,31.48
01/3/2003,31.88
12/27/2002,32.23
12/20/2002,30.3
12/13/2002,27.76
12/6/2002,27.09
11/29/2002,26.47
11/22/2002,26.64
11/15/2002,25.57
11/8/2002,26
11/1/2002,27.06
10/25/2002,27.94
10/18/2002,29.69
10/11/2002,29.36
10/4/2002,30.23
09/27/2002,30.61
09/20/2002,29.47
09/13/2002,29.58
09/6/2002,28.66
08/30/2002,28.87
08/23/2002,29.33
08/16/2002,28.46
08/9/2002,26.76
08/2/2002,26.85
07/26/2002,26.62
07/19/2002,27.62
07/12/2002,26.65
07/5/2002,26.79
06/28/2002,26.65
06/21/2002,25.64
06/14/2002,24.93
06/7/2002,24.97
05/31/2002,25.25
05/24/2002,26.81
05/17/2002,28.4
05/10/2002,27.25
05/3/2002,26.89
04/26/2002,26.62
04/19/2002,25.56
04/12/2002,25.39
04/5/2002,26.99
03/29/2002,25.63
03/22/2002,25.17
03/15/2002,24.35
03/8/2002,23.26
03/1/2002,21.46
02/22/2002,20.8
02/15/2002,21.21
02/8/2002,19.96
02/1/2002,19.71
01/25/2002,19.38
01/18/2002,18.52
01/11/2002,20.59
01/4/2002,20.71
12/28/2001,20.86
12/21/2001,19.46
12/14/2001,18.43
12/7/2001,19.36
11/30/2001,19.09
11/23/2001,18.61
11/16/2001,19.62
11/9/2001,20.68
11/2/2001,21.15
10/26/2001,22
10/19/2001,21.85
10/12/2001,22.66
10/5/2001,22.63
09/28/2001,22.47
09/21/2001,27.16
09/14/2001,27.63
09/7/2001,27.37
08/31/2001,26.93
08/24/2001,27
08/17/2001,27.49
08/10/2001,27.78
08/3/2001,27.02
07/27/2001,26.6
07/20/2001,25.36
07/13/2001,27.12
07/6/2001,26.86
06/29/2001,26.33
06/22/2001,26.98
06/15/2001,28.92
06/8/2001,28.05
06/1/2001,28.38
05/25/2001,29.22
05/18/2001,29.07
05/11/2001,28.09
05/4/2001,28.4
04/27/2001,27.69
04/20/2001,28.02
04/13/2001,28.05
04/6/2001,26.64
03/30/2001,26.83
03/23/2001,26.55
03/16/2001,27.06
03/9/2001,28.46
03/2/2001,27.88
02/23/2001,28.74
02/16/2001,29.71
02/9/2001,30.96
02/2/2001,29.56
01/26/2001,29.99
01/19/2001,30.63
01/12/2001,28.78
01/5/2001,27.83
12/29/2000,26.44
12/22/2000,27.4
12/15/2000,28.96
12/8/2000,29.68
12/1/2000,34.01
11/24/2000,35.26
11/17/2000,35.1
11/10/2000,33.49
11/3/2000,32.8
10/27/2000,33.31
10/20/2000,33.21
10/13/2000,33.87
10/6/2000,31.41
09/29/2000,31.14
09/22/2000,35.45
09/15/2000,34.65
09/8/2000,34.44
09/1/2000,33.09
08/25/2000,31.87
08/18/2000,31.87
08/11/2000,30.15
08/4/2000,28.42
07/28/2000,28
07/21/2000,30.74
07/14/2000,30.52
07/7/2000,30.31
06/30/2000,32.16
06/23/2000,32.11
06/16/2000,32.49
06/9/2000,29.88
06/2/2000,29.96
05/26/2000,29.57
05/19/2000,29.84
05/12/2000,28.71
05/5/2000,26.76
04/28/2000,25.44
04/21/2000,26.31
04/14/2000,24.87
04/7/2000,25.69
03/31/2000,26.99
03/24/2000,28.04
03/17/2000,31.29
03/10/2000,32.2
03/3/2000,31.11
02/25/2000,29.83
02/18/2000,29.87
02/11/2000,28.82
02/4/2000,28.05
01/28/2000,27.7
01/21/2000,29.06
01/14/2000,26.29
01/7/2000,24.87
12/31/1999,26.31
12/24/1999,26.04
12/17/1999,26.21
12/10/1999,26.16
12/3/1999,25.44
11/26/1999,26.79
11/19/1999,25.96
11/12/1999,24.2
11/5/1999,22.72
10/29/1999,22.58
10/22/1999,22.6
10/15/1999,22.38
10/8/1999,22.77
10/1/1999,24.54
09/24/1999,24.5
09/17/1999,24.29
09/10/1999,23.01
09/3/1999,21.92
08/27/1999,21.22
08/20/1999,21.61
08/13/1999,21.45
08/6/1999,20.53
07/30/1999,20.59
07/23/1999,20.01
07/16/1999,20.15
07/9/1999,19.8
07/2/1999,19.01
06/25/1999,18.09
06/18/1999,18.2
06/11/1999,17.96
06/4/1999,16.76
05/28/1999,17.11
05/21/1999,17.27
05/14/1999,18.04
05/7/1999,18.66
04/30/1999,18.22
04/23/1999,17.92
04/16/1999,16.76
04/9/1999,16.44
04/2/1999,16.66
03/26/1999,15.64
03/19/1999,14.84
03/12/1999,14.19
03/5/1999,12.87
02/26/1999,12.4
02/19/1999,11.68
02/12/1999,11.77
02/5/1999,12.17
01/29/1999,12.4
01/22/1999,12.26
01/15/1999,12.58
01/8/1999,12.66
01/1/1999,11.75
12/25/1998,11.12
12/18/1998,11.44
12/11/1998,11.09
12/4/1998,11.19
11/27/1998,12.14
11/20/1998,12.34
11/13/1998,13.57
11/6/1998,14.11
10/30/1998,14.26
10/23/1998,13.78
10/16/1998,14.18
10/9/1998,14.99
10/2/1998,15.77
09/25/1998,15.74
09/18/1998,14.77
09/11/1998,14.36
09/4/1998,14
08/28/1998,13.54
08/21/1998,13.24
08/14/1998,13.02
08/7/1998,13.74
07/31/1998,14.2
07/24/1998,13.81
07/17/1998,14.37
07/10/1998,13.83
07/3/1998,14.28
06/26/1998,14.14
06/19/1998,11.95
06/12/1998,13.44
06/5/1998,14.96
05/29/1998,14.97
05/22/1998,14.12
05/15/1998,14.98
05/8/1998,15.43
05/1/1998,15.58
04/24/1998,15.34
04/17/1998,15.45
04/10/1998,15.45
04/3/1998,15.82
03/27/1998,16.5
03/20/1998,13.89
03/13/1998,14.21
03/6/1998,15.23
02/27/1998,15.38
02/20/1998,16.06
02/13/1998,16.24
02/6/1998,16.64
01/30/1998,17.23
01/23/1998,16.14
01/16/1998,16.44
01/9/1998,16.84
01/2/1998,17.57
12/26/1997,18.3
12/19/1997,18.29
12/12/1997,18.4
12/5/1997,18.71
11/28/1997,19.57
11/21/1997,19.8
11/14/1997,20.62
11/7/1997,20.63
10/31/1997,20.91
10/24/1997,20.97
10/17/1997,20.83
10/10/1997,22.06
10/3/1997,21.6
09/26/1997,20.12
09/19/1997,19.41
09/12/1997,19.4
09/5/1997,19.57
08/29/1997,19.49
08/22/1997,19.89
08/15/1997,20
08/8/1997,20.33
08/1/1997,20.08
07/25/1997,19.51
07/18/1997,19.51
07/11/1997,19.45
07/4/1997,19.96
06/27/1997,19.25
06/20/1997,18.85
06/13/1997,18.68
06/6/1997,19.98
05/30/1997,20.86
05/23/1997,21.63
05/16/1997,21.51
05/9/1997,19.94
05/2/1997,20.01
04/25/1997,19.95
04/18/1997,19.68
04/11/1997,19.39
04/4/1997,19.75
03/28/1997,20.85
03/21/1997,21.77
03/14/1997,20.64
03/7/1997,20.71
02/28/1997,20.8
02/21/1997,22.17
02/14/1997,22.23
02/7/1997,23.48
01/31/1997,24.27
01/24/1997,24.5
01/17/1997,25.44
01/10/1997,26.34
01/3/1997,25.64
12/27/1996,25.01
12/20/1996,25.85
12/13/1996,24.26
12/6/1996,25.15
11/29/1996,23.62
11/22/1996,23.94
11/15/1996,23.88
11/8/1996,22.89
11/1/1996,23.97
10/25/1996,25.18
10/18/1996,25.48
10/11/1996,24.95
10/4/1996,24.42
09/27/1996,24.13
09/20/1996,23.51
09/13/1996,24.42
09/6/1996,23.48
08/30/1996,21.86
08/23/1996,22.42
08/16/1996,22.25
08/9/1996,21.38
08/2/1996,20.68
07/26/1996,20.79
07/19/1996,21.87
07/12/1996,21.62
07/5/1996,21.29
06/28/1996,20.51
06/21/1996,20.99
06/14/1996,20.16
06/7/1996,20.07
05/31/1996,20.39
05/24/1996,21.82
05/17/1996,21.14
05/10/1996,20.97
05/3/1996,21.3
04/26/1996,22.74
04/19/1996,24.39
04/12/1996,23.99
04/5/1996,22.5
03/29/1996,21.85
03/22/1996,22.73
03/15/1996,20.82
03/8/1996,19.67
03/1/1996,19.47
02/23/1996,19.92
02/16/1996,18.81
02/9/1996,17.7
02/2/1996,17.65
01/26/1996,18.07
01/19/1996,18.61
01/12/1996,19.17
01/5/1996,19.97
12/29/1995,19.42
12/22/1995,19.17
12/15/1995,19
12/8/1995,18.75
12/1/1995,18.32
11/24/1995,18
11/17/1995,18.06
11/10/1995,17.77
11/3/1995,17.78
10/27/1995,17.39
10/20/1995,17.51
10/13/1995,17.31
10/6/1995,17.28
09/29/1995,17.53
09/22/1995,18.28
09/15/1995,18.68
09/8/1995,18.41
09/1/1995,17.86
08/25/1995,18.1
08/18/1995,17.61
08/11/1995,17.79
08/4/1995,17.69
07/28/1995,17.25
07/21/1995,17.14
07/14/1995,17.34
07/7/1995,17.23
06/30/1995,17.67
06/23/1995,17.74
06/16/1995,18.92
06/9/1995,19.03
06/2/1995,18.93
05/26/1995,19.39
05/19/1995,20
05/12/1995,19.72
05/5/1995,20.22
04/28/1995,20.27
04/21/1995,20.22
04/14/1995,19.54
04/7/1995,19.44
03/31/1995,19.13
03/24/1995,18.73
03/17/1995,18.13
03/10/1995,18.3
03/3/1995,18.49
02/24/1995,18.65
02/17/1995,18.5
02/10/1995,18.41
02/3/1995,18.46
01/27/1995,18.21
01/20/1995,18.45
01/13/1995,17.55
