Week of,Natural Gas Futures Contract 1 $/MMBTU
08/24/2018,2.952
08/17/2018,2.937
08/10/2018,2.921
08/3/2018,2.801
07/27/2018,2.766
07/20/2018,2.749
07/13/2018,2.799
07/6/2018,2.859
06/29/2018,2.944
06/22/2018,2.947
06/15/2018,2.968
06/8/2018,2.907
06/1/2018,2.923
05/25/2018,2.902
05/18/2018,2.84
05/11/2018,2.766
05/4/2018,2.751
04/27/2018,2.78
04/20/2018,2.726
04/13/2018,2.689
04/6/2018,2.695
03/30/2018,2.695
03/23/2018,2.634
03/16/2018,2.733
03/9/2018,2.744
03/2/2018,2.676
02/23/2018,2.618
02/16/2018,2.574
02/9/2018,2.698
02/2/2018,3.105
01/26/2018,3.426
01/19/2018,3.187
01/12/2018,2.99
01/5/2018,2.938
12/29/2017,2.812
12/22/2017,2.668
12/15/2017,2.703
12/8/2017,2.871
12/1/2017,3.053
11/24/2017,3.011
11/17/2017,3.1
11/10/2017,3.165
11/3/2017,2.935
10/27/2017,2.905
10/20/2017,2.91
10/13/2017,2.942
10/6/2017,2.907
09/29/2017,2.967
09/22/2017,3.053
09/15/2017,3.021
09/8/2017,2.961
09/1/2017,2.987
08/25/2017,2.934
08/18/2017,2.921
08/11/2017,2.895
08/4/2017,2.8
07/28/2017,2.935
07/21/2017,3.037
07/14/2017,2.98
07/7/2017,2.886
06/30/2017,3.042
06/23/2017,2.903
06/16/2017,3.003
06/9/2017,3.022
06/2/2017,3.056
05/26/2017,3.236
05/19/2017,3.242
05/12/2017,3.298
05/5/2017,3.218
04/28/2017,3.153
04/21/2017,3.151
04/14/2017,3.201
04/7/2017,3.256
03/31/2017,3.141
03/24/2017,3.054
03/17/2017,2.962
03/10/2017,2.922
03/3/2017,2.779
02/24/2017,2.6
02/17/2017,2.892
02/10/2017,3.096
02/3/2017,3.153
01/27/2017,3.325
01/20/2017,3.322
01/13/2017,3.282
01/6/2017,3.288
12/30/2016,3.804
12/23/2016,3.479
12/16/2016,3.484
12/9/2016,3.667
12/2/2016,3.368
11/25/2016,2.986
11/18/2016,2.754
11/11/2016,2.693
11/4/2016,2.851
10/28/2016,2.841
10/21/2016,3.162
10/14/2016,3.268
10/7/2016,3.034
09/30/2016,2.962
09/23/2016,2.997
09/16/2016,2.918
09/9/2016,2.749
09/2/2016,2.83
08/26/2016,2.791
08/19/2016,2.617
08/12/2016,2.612
08/5/2016,2.79
07/29/2016,2.776
07/22/2016,2.715
07/15/2016,2.731
07/8/2016,2.782
07/1/2016,2.881
06/24/2016,2.71
06/17/2016,2.597
06/10/2016,2.516
06/3/2016,2.356
05/27/2016,2.032
05/20/2016,2.036
05/13/2016,2.136
05/6/2016,2.089
04/29/2016,2.069
04/22/2016,2.061
04/15/2016,1.965
04/8/2016,1.974
04/1/2016,1.932
03/25/2016,1.823
03/18/2016,1.876
03/11/2016,1.753
03/4/2016,1.687
02/26/2016,1.777
02/19/2016,1.875
02/12/2016,2.049
02/5/2016,2.05
01/29/2016,2.201
01/22/2016,2.122
01/15/2016,2.232
01/8/2016,2.356
01/1/2016,2.288
12/25/2015,1.953
12/18/2015,1.806
12/11/2015,2.041
12/4/2015,2.2
11/27/2015,2.205
11/20/2015,2.305
11/13/2015,2.31
11/6/2015,2.301
10/30/2015,2.153
10/23/2015,2.399
10/16/2015,2.475
10/9/2015,2.479
10/2/2015,2.511
09/25/2015,2.575
09/18/2015,2.681
09/11/2015,2.684
09/4/2015,2.684
08/28/2015,2.676
08/21/2015,2.716
08/14/2015,2.841
08/7/2015,2.794
07/31/2015,2.796
07/24/2015,2.839
07/17/2015,2.871
07/10/2015,2.731
07/3/2015,2.811
06/26/2015,2.768
06/19/2015,2.846
06/12/2015,2.803
06/5/2015,2.639
05/29/2015,2.746
05/22/2015,2.942
05/15/2015,2.932
05/8/2015,2.798
05/1/2015,2.628
04/24/2015,2.556
04/17/2015,2.594
04/10/2015,2.598
04/3/2015,2.651
03/27/2015,2.701
03/20/2015,2.818
03/13/2015,2.739
03/6/2015,2.772
02/27/2015,2.821
02/20/2015,2.844
02/13/2015,2.718
02/6/2015,2.655
01/30/2015,2.828
01/23/2015,2.907
01/16/2015,3.051
01/9/2015,2.913
01/2/2015,3.044
12/26/2014,3.088
12/19/2014,3.629
12/12/2014,3.676
12/5/2014,3.827
11/28/2014,4.219
11/21/2014,4.342
11/14/2014,4.137
11/7/2014,4.237
10/31/2014,3.728
10/24/2014,3.657
10/17/2014,3.819
10/10/2014,3.883
10/3/2014,4.054
09/26/2014,3.906
09/19/2014,3.937
09/12/2014,3.899
09/5/2014,3.837
08/29/2014,3.983
08/22/2014,3.844
08/15/2014,3.89
08/8/2014,3.9
08/1/2014,3.796
07/25/2014,3.802
07/18/2014,4.054
07/11/2014,4.173
07/4/2014,4.42
06/27/2014,4.469
06/20/2014,4.652
06/13/2014,4.637
06/6/2014,4.658
05/30/2014,4.556
05/23/2014,4.452
05/16/2014,4.408
05/9/2014,4.666
05/2/2014,4.767
04/25/2014,4.704
04/18/2014,4.6
04/11/2014,4.574
04/4/2014,4.384
03/28/2014,4.432
03/21/2014,4.432
03/14/2014,4.511
03/7/2014,4.592
02/28/2014,4.903
02/21/2014,5.975
02/14/2014,4.932
02/7/2014,5.003
01/31/2014,5.078
01/24/2014,4.672
01/17/2014,4.335
01/10/2014,4.176
01/3/2014,4.321
12/27/2013,4.43
12/20/2013,4.339
12/13/2013,4.313
12/6/2013,4.034
11/29/2013,3.864
11/22/2013,3.663
11/15/2013,3.604
11/8/2013,3.497
11/1/2013,3.556
10/25/2013,3.641
10/18/2013,3.78
10/11/2013,3.705
10/4/2013,3.543
09/27/2013,3.535
09/20/2013,3.721
09/13/2013,3.614
09/6/2013,3.614
08/30/2013,3.558
08/23/2013,3.479
08/16/2013,3.345
08/9/2013,3.282
08/2/2013,3.414
07/26/2013,3.663
07/19/2013,3.716
07/12/2013,3.667
07/5/2013,3.635
06/28/2013,3.648
06/21/2013,3.878
06/14/2013,3.77
06/7/2013,3.929
05/31/2013,4.082
05/24/2013,4.193
05/17/2013,4.001
05/10/2013,3.96
05/3/2013,4.225
04/26/2013,4.198
04/19/2013,4.264
04/12/2013,4.109
04/5/2013,3.991
03/29/2013,3.983
03/22/2013,3.935
03/15/2013,3.732
03/8/2013,3.548
03/1/2013,3.443
02/22/2013,3.272
02/15/2013,3.226
02/8/2013,3.338
02/1/2013,3.298
01/25/2013,3.501
01/18/2013,3.465
01/11/2013,3.223
01/4/2013,3.267
12/28/2012,3.39
12/21/2012,3.402
12/14/2012,3.383
12/7/2012,3.609
11/30/2012,3.681
11/23/2012,3.839
11/16/2012,3.712
11/9/2012,3.572
11/2/2012,3.621
10/26/2012,3.454
10/19/2012,3.519
10/12/2012,3.512
10/5/2012,3.442
09/28/2012,3.08
09/21/2012,2.816
09/14/2012,2.969
09/7/2012,2.777
08/31/2012,2.69
08/24/2012,2.776
08/17/2012,2.751
08/10/2012,2.904
08/3/2012,3.078
07/27/2012,3.098
07/20/2012,2.93
07/13/2012,2.844
07/6/2012,2.861
06/29/2012,2.756
06/22/2012,2.581
06/15/2012,2.319
06/8/2012,2.371
06/1/2012,2.399
05/25/2012,2.654
05/18/2012,2.577
05/11/2012,2.438
05/4/2012,2.306
04/27/2012,2.054
04/20/2012,1.95
04/13/2012,2.017
04/6/2012,2.142
03/30/2012,2.18
03/23/2012,2.318
03/16/2012,2.291
03/9/2012,2.322
03/2/2012,2.506
02/24/2012,2.61
02/17/2012,2.528
02/10/2012,2.485
02/3/2012,2.53
01/27/2012,2.618
01/20/2012,2.406
01/13/2012,2.819
01/6/2012,3.033
12/30/2011,3.053
12/23/2011,3.132
12/16/2011,3.185
12/9/2011,3.429
12/2/2011,3.556
11/25/2011,3.454
11/18/2011,3.386
11/11/2011,3.665
11/4/2011,3.805
10/28/2011,3.66
10/21/2011,3.617
10/14/2011,3.576
10/7/2011,3.581
09/30/2011,3.756
09/23/2011,3.753
09/16/2011,3.918
09/9/2011,3.943
09/2/2011,3.948
08/26/2011,3.933
08/19/2011,3.944
08/12/2011,4.02
08/5/2011,4.063
07/29/2011,4.303
07/22/2011,4.475
07/15/2011,4.39
07/8/2011,4.23
07/1/2011,4.323
06/24/2011,4.289
06/17/2011,4.508
06/10/2011,4.787
06/3/2011,4.699
05/27/2011,4.383
05/20/2011,4.204
05/13/2011,4.204
05/6/2011,4.487
04/29/2011,4.484
04/22/2011,4.281
04/15/2011,4.153
04/8/2011,4.153
04/1/2011,4.344
03/25/2011,4.279
03/18/2011,4.024
03/11/2011,3.888
03/4/2011,3.863
02/25/2011,3.891
02/18/2011,3.913
02/11/2011,4.016
02/4/2011,4.37
01/28/2011,4.436
01/21/2011,4.604
01/14/2011,4.455
01/7/2011,4.528
12/31/2010,4.274
12/24/2010,4.133
12/17/2010,4.204
12/10/2010,4.47
12/3/2010,4.27
11/26/2010,4.3
11/19/2010,3.974
11/12/2010,4.016
11/5/2010,3.868
10/29/2010,3.578
10/22/2010,3.436
10/15/2010,3.626
10/8/2010,3.722
10/1/2010,3.85
